"Genotype","predicted.value","std.error","status"
"FBR3N8",0.874446103081047,0.300576384362958,"Estimable"
"FBR3N80",0.895132208643208,0.304972958539848,"Estimable"
"FBR3N81",0.902581147265442,0.303417383879453,"Estimable"
"FBR3N82",0.862138436989077,0.294881868395705,"Estimable"
"FBR3N84",0.854582709107521,0.300168694013912,"Estimable"
"FBR3N9",0.883865323740119,0.295314380703756,"Estimable"
"FBR3N90",0.938769214009913,0.304526379845605,"Estimable"
"FBR3N93",0.840651714768962,0.306295775085382,"Estimable"
"FBR3N94",0.87253578269424,0.292728699498708,"Estimable"
"FBR3N95",0.808778414593803,0.292814616833207,"Estimable"
"LAR1N1",0.855215804405117,0.301479102186877,"Estimable"
"LAR1N10",0.829190782918717,0.299547139409029,"Estimable"
"LAR1N100",0.871514810671107,0.178625821391641,"Estimable"
"LAR1N103",0.744580058757638,0.179825884790161,"Estimable"
"LAR1N106",0.759183696748747,0.177239336663847,"Estimable"
"LAR1N107",0.720147877541602,0.18347754531524,"Estimable"
"LAR1N108",0.84849936879364,0.181156934963168,"Estimable"
"LAR1N109",0.823808747138649,0.179753636277174,"Estimable"
"LAR1N11",0.9400983895575,0.306338514291676,"Estimable"
"LAR1N110",0.771340162827154,0.174972070863123,"Estimable"
"LAR1N111",0.956689949571788,0.182569313487685,"Estimable"
"LAR1N114",0.737849576642483,0.178143899781426,"Estimable"
"LAR1N117",0.676595842106206,0.179761103291718,"Estimable"
"LAR1N119",0.824261817812962,0.182024610233732,"Estimable"
"LAR1N121",0.925266862980217,0.180982781964263,"Estimable"
"LAR1N122",0.71775154563141,0.178538411669498,"Estimable"
"LAR1N125",0.872931000617881,0.180013772039184,"Estimable"
"LAR1N15",0.878974592494148,0.303714929044066,"Estimable"
"LAR1N17",0.942812038073234,0.303649104844911,"Estimable"
"LAR1N19",0.908196322965012,0.30432834119738,"Estimable"
"LAR1N2",0.89596127008039,0.312890258293574,"Estimable"
"LAR1N20",0.900155288112663,0.302009786396596,"Estimable"
"LAR1N21",0.908899751006579,0.3014310539196,"Estimable"
"LAR1N22",0.887330030051696,0.30700489088957,"Estimable"
"LAR1N23",0.883838202940617,0.304828411200143,"Estimable"
"LAR1N24",0.92271880282016,0.303939975870601,"Estimable"
"LAR1N26",0.867160163142942,0.307606840256251,"Estimable"
"LAR1N3",0.886840812206076,0.300767991532957,"Estimable"
"LAR1N30",0.848534390803778,0.297880156120665,"Estimable"
"LAR1N31",0.834985971580864,0.304833327010657,"Estimable"
"LAR1N32",0.91422665862568,0.304710844854483,"Estimable"
"LAR1N37",0.895667489142379,0.314998964674202,"Estimable"
"LAR1N38",0.885474219004751,0.30734145665697,"Estimable"
"LAR1N39",0.885081052833729,0.307544378495592,"Estimable"
"LAR1N4",0.843224006694969,0.302910751104452,"Estimable"
"LAR1N41",0.922985799778546,0.308771796982527,"Estimable"
"LAR1N43",0.882166362947683,0.306997845309503,"Estimable"
"LAR1N5",0.903005336343401,0.298985298862528,"Estimable"
"LAR1N51",0.895750440131634,0.311183846830635,"Estimable"
"LAR1N52",0.847088524742048,0.313276820526159,"Estimable"
"LAR1N53",0.919471159894364,0.305397578190238,"Estimable"
"LAR1N58",0.876904879535491,0.306746795565074,"Estimable"
"LAR1N59",0.886199022545994,0.307678783720305,"Estimable"
"LAR1N6",0.874444800488046,0.307403510029561,"Estimable"
"LAR1N61",0.890175929300347,0.296323887291043,"Estimable"
"LAR1N62",0.881636295831026,0.310582131101254,"Estimable"
"LAR1N64",0.921264799573803,0.299936689206381,"Estimable"
"LAR1N65",0.878705651999025,0.30218305236511,"Estimable"
"LAR1N68",0.90847500214345,0.311127017331242,"Estimable"
"LAR1N69",0.705433113719223,0.173984759390532,"Estimable"
"LAR1N70",0.835445068414084,0.170836115111976,"Estimable"
"LAR1N72",0.892579390115683,0.187000290300611,"Estimable"
"LAR1N74",1.05816848027891,0.17250752011488,"Estimable"
"LAR1N75",0.896889623851748,0.1771296085303,"Estimable"
"LAR1N76",0.727272166849455,0.176500700493036,"Estimable"
"LAR1N78",0.75054806466359,0.177432871476463,"Estimable"
"LAR1N79",0.683433247640498,0.168889450255669,"Estimable"
"LAR1N81",0.744584871768379,0.177690193648719,"Estimable"
"LAR1N83",0.862432723440746,0.18785774830243,"Estimable"
"LAR1N85",0.864900249221388,0.173802123947116,"Estimable"
"LAR1N9",0.828512269587205,0.299648480267977,"Estimable"
"LAR1N91",0.806233555229524,0.163417234910682,"Estimable"
"LAR1N98",0.796720139166676,0.173220751219606,"Estimable"
"LAR1N99",0.780500400436229,0.184242433529903,"Estimable"
"LAR2N1",1.01941410094287,0.171355687023714,"Estimable"
"LAR2N10",0.840777096891407,0.185097019399838,"Estimable"
"LAR2N100",0.835362949656484,0.182414856792466,"Estimable"
"LAR2N101",0.81676364635796,0.185942712865379,"Estimable"
"LAR2N102",0.842448922985817,0.182533553139684,"Estimable"
