taxa,PC1,PC2,PC3
LAR3N32,69.7332504545014,-1.5114027964544,-5.69979396551276
LAR3N34,68.6483542486338,2.47049113159939,-9.68927549702121
LAR3N36,64.3349463204631,-7.57674258989019,18.3524202748768
LAR3N38,75.9223851845664,-3.84551421899269,-4.13299622966092
LAR3N39,69.3942053937924,1.13615071651757,-6.26667278910722
LAR3N40,64.4910243560219,-2.61220986140624,-12.590840326472
LAR3N41,70.1742868694347,-0.673061284530091,4.38351549704903
LAR3N43,62.7398529106644,-8.10712198199198,13.0060184735899
LAR3N44,63.7606014871748,1.13749229445611,8.36549301746208
LAR3N45,65.4931511979858,-4.63800862457987,2.1122872955595
LAR3N49,62.973838289434,-7.93342379318317,10.0140172972887
LAR3N5,74.8383404596984,-3.24853599224096,10.726999623667
LAR3N52,64.8636594070123,-2.65586331908925,-4.85050710203773
LAR3N53,67.1214639819877,-5.37350136410703,0.479563491731429
LAR3N54,67.0800915630583,-7.4253257111443,-13.5745806156927
LAR3N55,66.6151550932381,0.858349896289261,5.73045260542908
LAR3N57,63.8529936780556,1.75415976158036,5.16803015007246
LAR3N60,71.506424837897,2.23552246338669,-5.00958331257592
LAR3N63,62.362340805909,0.455850958031877,5.43979022175201
LAR3N65,68.9573553474767,-7.63717513071648,-14.6128419909195
LAR3N66,63.4933706866549,-5.66448405770034,19.3164286679148
LAR3N67,66.4696377764611,0.0959430462101221,1.30882354109205
LAR3N71,64.0181108361344,-11.4011493759196,-8.00651474647406
LAR3N74,73.6202966755108,5.38461529817453,-16.3947412794668
LAR3N76,55.7397608429013,-6.81909292539452,-9.16377797508554
LAR3N77,61.5090178245583,-2.79824009275424,5.57643182961246
LAR3N78,70.2724327077379,-6.27195575774225,5.49127317089066
LAR3N79,58.1456915762629,-8.45464035747444,20.8649840233613
LAR3N81,66.7757440981515,-7.58448054894614,9.10142747656624
LAR3N82,63.1845816808543,-4.71977036836219,22.6313664218434
LAR3N83,71.6937101306913,1.18393865017972,-12.883980133353
LAR3N86,66.086982470977,2.00104686061574,0.985293607994204
LAR3N9,65.9185668137419,0.956896612029389,7.57896905024487
LAR3N90,67.674657613866,-0.715388869798175,-22.5535620685625
LAR3N95,62.5411913393643,2.52259479052539,-4.86774889414283
LAR3N96,72.1203483353235,-12.1635181992899,11.834853317071
LAR3N97,68.9451865167687,-5.36745073122353,-5.36910303980894
LAR3N98,68.179793027953,-3.05741276517239,-1.15785257288803
LAR4N1,59.0560942162489,-1.24149472678074,8.59565390703725
LAR4N100,-29.8275984383223,50.2749140046367,-0.402747230972268
LAR4N101,-37.5007722098231,56.4582661481174,-2.07762705091785
